,DATE,Apparel,QuarterID,LoanRate,Food&Beverages,Fruits&Veggie,Gas,Meats,MedicalCare,PersonalIncome,GDP,HouseholdIncome,Housing,Unemployment,SemiYearID
0,1958-01-01,0.22405,1958.0,,,8.00493,-1.12518,,1.16667,,-10.0,,0.44723,6.3,1958.0
1,1958-04-01,0.0,1958.25,,,3.07868,-0.71124,,1.31796,,2.7,,0.44524,7.366666666666667,1958.0
2,1958-07-01,-0.22355,1958.5,,,-5.19912,2.72206,,1.30081,,9.6,,0.26596,7.333333333333333,1958.5
3,1958-10-01,0.0,1958.75,,,0.0,-3.06834,,1.28411,,9.7,,0.35367,6.366666666666667,1958.5
4,1959-01-01,0.22405,1959.0,,,-1.28355,0.00000,,0.7923899999999999,,7.9,,0.35242,5.833333333333333,1959.0
5,1959-04-01,0.37258,1959.25,,,0.23640999999999998,1.72662,,0.9434,1.61369,9.3,,0.35119,5.1000000000000005,1959.0
6,1959-07-01,0.66815,1959.5,,,1.8867900000000002,0.84866,,0.93458,-0.13595,0.3,,0.26247,5.266666666666667,1959.5
7,1959-10-01,0.22124000000000002,1959.75,,,2.19907,2.80505,,0.7716,0.7105899999999999,1.1,,0.61082,5.6000000000000005,1959.5
8,1960-01-01,0.29433000000000004,1960.0,,,-0.906,-1.50068,,1.07198,1.1556600000000001,9.3,,0.26019,5.133333333333334,1960.0
9,1960-04-01,0.51357,1960.25,,,0.9142899999999999,0.13850,,0.90909,0.64612,-2.1,,0.43253,5.233333333333333,1960.0
10,1960-07-01,0.36496,1960.5,,,-0.79275,2.76625,,0.6006,0.19113,2.0,,0.17227,5.533333333333334,1960.5
11,1960-10-01,0.21818,1960.75,,,2.2831099999999998,-0.26918,,0.74627,-0.042230000000000004,-5.0,,0.51591,6.266666666666666,1960.5
12,1961-01-01,0.14514000000000002,1961.0,,,-1.2276799999999999,-0.80972,,0.74074,0.94404,2.7,,0.25663,6.8,1961.0
13,1961-04-01,-0.07246,1961.25,,,0.0,-3.53741,,0.73529,1.5197200000000002,7.0,,0.34130,7.0,1961.0
14,1961-07-01,0.36258,1961.5,,,1.80791,3.10296,,0.72993,1.33206,7.9,,0.08503,6.766666666666667,1961.5
15,1961-10-01,0.0,1961.75,,,-3.21865,-0.95759,,0.5797100000000001,1.94728,8.1,,0.50977,6.2,1961.5
16,1962-01-01,-0.07225,1962.0,,,1.37615,-0.41436,,0.72046,0.98669,7.3,,0.25359,5.633333333333333,1962.0
17,1962-04-01,0.28923000000000004,1962.25,,,2.37557,1.10957,,0.71531,1.0806200000000001,3.7,,0.33727,5.533333333333334,1962.0
18,1962-07-01,0.36049000000000003,1962.5,,,-1.7679599999999998,-0.54870,,0.56818,0.5379,5.0,,0.25210,5.566666666666667,1962.5
19,1962-10-01,0.28736,1962.75,,,0.33746,2.06897,,0.56497,0.88634,1.3,,0.33529,5.533333333333334,1962.5
20,1963-01-01,0.28653,1963.0,,,4.59641,-0.81081,,0.70225,0.86925,4.4,,0.25063,5.766666666666667,1963.0
21,1963-04-01,0.21429,1963.25,,,0.6430899999999999,-1.90736,,0.41841000000000006,0.91974,4.6,,0.08333,5.733333333333334,1963.0
22,1963-07-01,0.42766000000000004,1963.5,,,1.49095,1.52778,,0.69444,1.09415,9.1,,0.24979,5.5,1963.5
23,1963-10-01,0.42583000000000004,1963.75,,,-0.20986,-0.68399,,0.41379,1.62992,2.6,,0.41528,5.566666666666666,1963.5
24,1964-01-01,0.07067000000000001,1964.0,,,2.7339599999999997,,,0.54945,1.9558,8.7,,0.16543,5.466666666666666,1964.0
25,1964-04-01,0.21186,1964.25,,,-0.61412,,,0.54645,2.69731,4.4,,0.33031,5.199999999999999,1964.0
26,1964-07-01,0.07047,1964.5,,,0.9268799999999999,,,0.54348,1.30231,6.4,,0.16461,5.0,1964.5
27,1964-10-01,-0.07042000000000001,1964.75,,,1.53061,,,0.40541,1.1394,1.2,,0.32868,4.966666666666666,1964.5
28,1965-01-01,0.42283000000000004,1965.0,,,-2.11055,,,0.5383600000000001,1.17632,10.0,,0.16380,4.8999999999999995,1965.0
29,1965-04-01,0.42105,1965.25,,,3.49076,,,0.6693399999999999,1.12752,5.1,,0.32706,4.666666666666666,1965.0
30,1965-07-01,0.13976,1965.5,,,-3.7698400000000003,,,0.93085,2.73468,9.2,,0.16300,4.366666666666667,1965.5
31,1965-10-01,0.48849,1965.75,,,-0.51546,,,0.65876,2.0127599999999997,9.5,,0.32547,4.1000000000000005,1965.5
32,1966-01-01,0.8333299999999999,1966.0,,,1.96891,0.39683,,0.7853399999999999,0.9909399999999999,10.1,,0.40552,3.8666666666666667,1966.0
33,1966-04-01,0.82645,1966.25,,,1.62602,0.79051,,1.2987,0.26363000000000003,1.4,,0.32310,3.8333333333333335,1966.0
34,1966-07-01,0.8196700000000001,1966.5,,,0.7,1.56863,,1.79487,1.22193,3.4,,0.32206,3.766666666666667,1966.5
35,1966-10-01,1.0840100000000001,1966.75,,,0.0993,0.38610,,2.267,1.17161,3.3,,0.56180,3.7000000000000006,1966.5
36,1967-01-01,1.07239,1967.0,,,-2.77778,0.51282,,1.60099,1.5096100000000001,3.6,,0.47885,3.8333333333333335,1967.0
37,1967-04-01,0.9283799999999999,1967.25,,-0.09597,-0.91837,1.14796,-0.7901699999999999,1.57576,0.79343,0.2,,0.39714,3.8333333333333335,1967.0
38,1967-07-01,0.98555,1967.5,,1.2488,4.53141,0.50441,1.3274299999999999,1.43198,0.9506700000000001,3.8,,0.39557,3.7999999999999994,1967.5
39,1967-10-01,0.8458,1967.75,,0.7590100000000001,1.47783,-0.12547,0.0,1.7647099999999998,0.7313,3.0,,0.63042,3.9,1967.5
40,1968-01-01,1.41935,1968.0,,0.7533,3.5922300000000003,0.75377,0.17467,1.3872799999999998,1.6649599999999998,8.4,,0.54816,3.733333333333333,1968.0
41,1968-04-01,1.6539400000000002,1968.25,,1.1215,0.84349,-0.49875,1.48213,1.2542799999999998,1.6467599999999998,6.9,,0.70093,3.5666666666666664,1968.0
42,1968-07-01,1.7521900000000001,1968.5,,0.73937,-0.37175,1.12782,1.03093,1.46396,0.32005,3.1,,0.69606,3.533333333333333,1968.5
43,1968-10-01,1.41451,1968.75,,1.46789,2.23881,0.12392,2.04082,1.8867900000000002,0.7723899999999999,1.6,,0.69124,3.4,1968.5
44,1969-01-01,1.3341399999999999,1969.0,,0.45208000000000004,-1.5510899999999999,1.36139,0.9166700000000001,1.85185,0.24798,6.4,,0.76278,3.4,1969.0
45,1969-04-01,1.3165799999999999,1969.25,,1.71017,-0.27804,2.19780,3.7159400000000002,1.92513,0.9767399999999999,1.2,,0.83270,3.4333333333333336,1969.0
46,1969-07-01,1.2404,1969.5,,1.9469,1.11524,-0.23895,4.14013,1.57398,2.04109,2.7,,0.97598,3.5666666666666664,1969.5
47,1969-10-01,1.2252,1969.75,,1.82292,3.30882,-0.47904,2.14067,0.61983,0.76386,-1.9,,1.11524,3.5666666666666664,1969.5
48,1970-01-01,0.97983,1970.0,,1.61978,0.44483999999999996,-0.72202,1.7215599999999998,1.64271,1.05094,-0.6,,1.02941,4.166666666666667,1970.0
49,1970-04-01,0.7420100000000001,1970.25,,0.75503,0.62002,1.93939,-1.25092,2.12121,1.2347700000000001,0.6,,0.94614,4.766666666666667,1970.0
50,1970-07-01,0.8498600000000001,1970.5,,0.58285,-0.70423,-0.47562,-0.8196700000000001,1.7804200000000001,1.59806,3.7,,0.93727,5.166666666666667,1970.5
51,1970-10-01,1.23596,1970.75,,0.49668999999999996,0.8865200000000001,1.19474,-1.12697,1.55491,-0.24011,-4.2,,1.35714,5.833333333333333,1970.5
52,1971-01-01,0.77691,1971.0,,0.41186000000000006,-0.61511,-0.47226,-1.36778,1.62679,1.9945,11.3,,1.33897,5.933333333333334,1971.0
53,1971-04-01,0.77093,1971.25,,1.6406900000000002,5.12821,-2.01661,2.08012,1.69492,1.45504,2.2,,1.18220,5.900000000000001,1971.0
54,1971-07-01,0.38251,1971.5,,0.72639,1.17746,2.54237,0.15094000000000002,1.48148,0.52399,3.3,,0.75601,6.033333333333334,1971.5
55,1971-10-01,0.43549,1971.75,,0.88141,2.57689,0.59032,1.5825200000000001,0.18248,1.16651,0.9,,0.88677,5.933333333333334,1971.5
56,1972-01-01,0.54201,1972.0,,1.1914200000000001,-0.56726,-1.29108,3.7092,0.8196700000000001,0.45829,7.6,,0.87897,5.766666666666667,1972.0
57,1972-04-01,0.53908,1972.25,,0.54945,-1.30399,-0.47562,1.6452099999999998,0.81301,1.03783,9.4,,0.80429,5.7,1972.0
58,1972-07-01,0.10724000000000002,1972.5,0.24115999999999999,1.24902,3.88109,2.74791,2.11119,0.44803000000000004,1.94465,3.8,,0.73138,5.566666666666666,1972.5
59,1972-10-01,1.2319200000000001,1972.75,-0.24058000000000002,1.5420200000000002,3.8950699999999996,1.51163,2.75672,1.24888,4.00777,6.9,,0.85809,5.366666666666666,1972.5
60,1973-01-01,0.74074,1973.0,0.5627,3.87244,2.60138,1.03093,9.45674,0.70485,0.75864,10.3,,1.50524,4.933333333333334,1973.0
61,1973-04-01,1.47059,1973.25,-0.23981,4.75146,5.74198,4.19501,9.43627,0.9623799999999999,0.8436600000000001,4.4,,1.03159,4.933333333333334,1973.0
62,1973-07-01,0.7764,1973.5,1.44231,4.8150699999999995,2.82087,2.17628,10.19037,0.69324,0.45224,-2.1,,1.02106,4.8,1973.5
63,1973-10-01,1.2326700000000002,1973.75,0.7109,3.3954699999999995,1.30316,6.92226,-2.18496,2.58176,1.09369,3.8,,1.20025,4.766666666666667,1973.5
64,1974-01-01,1.87722,1974.0,0.54902,3.9278800000000005,5.89032,17.43028,2.12987,1.59396,-1.6554200000000001,-3.4,,1.43571,5.133333333333334,1974.0
