,timestep,trust_prop,anger_prop,fear_prop,negative_prop,sadness_prop,surprise_prop,positive_prop,disgust_prop,joy_prop,anticipation_prop,trust_cnts,anger_cnts,fear_cnts,negative_cnts,sadness_cnts,surprise_cnts,positive_cnts,disgust_cnts,joy_cnts,anticipation_cnts,num_words,song_counts,WeekID,trust_prop_detrended,anger_prop_detrended,fear_prop_detrended,negative_prop_detrended,sadness_prop_detrended,surprise_prop_detrended,positive_prop_detrended,disgust_prop_detrended,joy_prop_detrended,anticipation_prop_detrended,DATE,MonthID,S&P,S&P_detrended,Unemp,Unemp_detrended,Food&Beverage,Food&Beverage_detrended,GDP,GDP_detrended,Income,Income_detrended,LoanRate,LoanRate_detrended
2009,1997-02-01,0.33694501615157274,0.15172011739249816,0.18784088365099544,0.3731736128470681,0.1933428492311489,0.13068430947425574,0.5327515522993433,0.10731048043899592,0.3638787420669038,0.2161729482833041,942.0,473.6666666666666,545.1666666666666,1121.3333333333333,566.1666666666667,386.1666666666666,1514.0,321.3333333333333,996.4999999999997,621.1666666666669,2941.5000000000014,76,1414,-0.010751397768056227,0.0008992671585624502,-0.0015595301509429005,0.003123610991831172,0.0008654182826067502,-0.006913926348347199,-0.013570881878764984,-0.0010661807700172443,-0.013066871268853586,-0.004423584712595546,1997-02-01,1997.083333333333,790.820007,4.660033999999996,5.2,-0.09999999999999963,156.9,0.5999999999999943,,,8117.7,22.599999999999447,13.46,-0.05333333333333279
2010,1997-02-08,0.3352758661234475,0.14945331784187507,0.1928080149588373,0.3647446022128016,0.19868047797548788,0.13186602328872465,0.5384994905135867,0.1111094620765162,0.37319984163512976,0.20747626003557,949.0,483.33333333333326,569.8333333333331,1118.3333333333335,582.5,397.5,1539.333333333333,331.3333333333333,1017.8333333333333,613.1666666666667,2973.166666666667,78,1415,-0.0016691500281252325,-0.002266799550623089,0.004967131307841849,-0.008429010634266544,0.00533762874433899,0.0011817138144689099,0.005747938214243353,0.0037989816375202795,0.009321099568225966,-0.008696688247734091,,,,,,,,,,,,,,
2011,1997-02-15,0.3259839932097965,0.15877238280022218,0.1977984227526674,0.3714892272224529,0.20006289290025567,0.13085691289908508,0.5224122247996237,0.1141115321249575,0.35230702218224125,0.2128820061778611,959.8333333333336,526.3333333333334,595.5,1158.6666666666667,599.8333333333335,398.50000000000006,1539.833333333334,356.33333333333326,990.9999999999997,620.5,3058.0,78,1416,-0.009291872913651024,0.009319064958347112,0.004990407793830115,0.006744625009651339,0.0013824149247677884,-0.001009110389639578,-0.016087265713963017,0.003002070048441302,-0.020892819452888508,0.0054057461422910855,,,,,,,,,,,,,,
2012,1997-02-22,0.32646735132019683,0.1560243826150886,0.19583911670088133,0.3696264376731659,0.1909192735899677,0.13188387052997913,0.5182082618462721,0.1146312063206797,0.3566755327126969,0.22058307050675294,965.1666666666667,530.5000000000001,597.3333333333333,1178.833333333333,593.8333333333334,403.33333333333337,1545.166666666667,362.1666666666665,990.6666666666664,633.4999999999999,3094.833333333333,78,1417,0.0004833581104003448,-0.002748000185133576,-0.001959306051786069,-0.0018627895492870359,-0.009143619310287955,0.0010269576308940542,-0.00420396295335157,0.0005196741957222001,0.0043685105304556715,0.007701064328891838,,,,,,,,,,,,,,
2013,1997-03-01,0.3278472300295803,0.1678890284033707,0.20251405572738435,0.37220846476672864,0.19647023148822568,0.1306243450654235,0.5190200222915182,0.11949911718178705,0.3474923014327149,0.21456127177069395,1018.3333333333336,607.0,662.8333333333334,1279.1666666666665,674.8333333333334,423.66666666666674,1641.666666666667,426.6666666666666,1033.6666666666665,659.1666666666665,3294.833333333333,81,1418,0.0013798787093834974,0.011864645788282084,0.006674939026503013,0.0025820270935627554,0.005550957898257963,-0.0012595254645556275,0.0008117604452461125,0.00486791086110734,-0.009183231279981996,-0.0060217987360589855,1997-03-01,1997.166666666667,757.119995,-33.70001200000001,5.2,0.0,157.0,0.09999999999999433,,,8156.2,38.5,,0.11666666666666715
2014,1997-03-08,0.3293779670727042,0.16980946800486613,0.1999690429795085,0.3755826360326508,0.1994096615798028,0.13047810908640714,0.5150061757481393,0.11804761271241855,0.34141732338798025,0.2128938976341785,1021.6666666666667,604.0,651.1666666666666,1277.8333333333333,671.5,422.33333333333337,1631.3333333333335,417.0,1011.9999999999997,658.1666666666665,3281.166666666667,79,1419,0.0015307370431238974,0.0019204396014954328,-0.00254501274787583,0.0033741712659221546,0.002939430091577128,-0.00014623597901636254,-0.004013846543378885,-0.0014515044693684948,-0.006074978044734669,-0.0016673741365154369,,,,,,,,,,,,,,
2015,1997-03-15,0.33708088196853103,0.16905368307821148,0.1977373092692992,0.3710254235541837,0.1981034351088655,0.12970547339610514,0.5190233414915887,0.1164394665270685,0.34369913766694343,0.21332427911409466,999.3333333333333,588.0,628.1666666666669,1249.4999999999998,648.8333333333333,412.66666666666674,1580.666666666667,405.6666666666666,979.0,645.8333333333333,3199.833333333334,77,1420,0.007702914895826806,-0.0007557849266546512,-0.002231733710209321,-0.004557212478467077,-0.0013062264709373106,-0.0007726356903020037,0.004017165743449347,-0.0016081461853500456,0.002281814278963179,0.0004303814799161421,,,,,,,,,,,,,,
2016,1997-03-22,0.3292640652569984,0.1705319374827963,0.2070460797915421,0.3729095042480949,0.19709828153883927,0.12760636833702768,0.5115146005542482,0.12025992734733038,0.33421005330542536,0.20967902497508184,1028.6666666666665,621.6666666666667,695.1666666666669,1300.8333333333333,658.5,410.83333333333337,1623.0,433.66666666666674,990.3333333333333,655.3333333333333,3314.5000000000005,79,1421,-0.007816816711532615,0.0014782544045848225,0.00930877052224291,0.001884080693911161,-0.0010051535700261738,-0.002099105059077455,-0.00750874093734044,0.0038204608202618705,-0.009489084361518074,-0.0036452541390128157,,,,,,,,,,,,,,
2017,1997-03-29,0.3157182101933742,0.17548652449029412,0.21530641000557016,0.3814601540448093,0.20230460711049866,0.1274800061689374,0.4982206476700585,0.12650658437890752,0.3235810478712555,0.2111583739075603,895.3333333333333,583.0000000000001,661.0000000000002,1220.4999999999998,628.6666666666665,381.16666666666674,1451.666666666667,401.5,867.8333333333333,606.6666666666665,3038.333333333333,76,1422,-0.013545855063624213,0.004954587007497818,0.008260330214028055,0.008550649796714438,0.005206325571659343,-0.0001263621680902827,-0.013293952884189721,0.006246657031577146,-0.010629005434169836,0.001479348932478447,1997-04-01,1997.25,801.340027,44.220031999999954,5.1,-0.10000000000000052,157.0,0.0,11472.137,187.54999999999927,8162.4,6.199999999999817,,0.11666666666666535
2018,1997-04-05,0.307447648777245,0.1788343418272106,0.21677770113666675,0.3774038818676733,0.1973961052436811,0.12802605715200674,0.5006962457979522,0.12354875150261685,0.3229711223473335,0.21974318853855185,878.3333333333333,601.3333333333333,669.3333333333335,1221.6666666666665,615.8333333333333,386.5,1468.0,402.5,856.5,624.9999999999999,3064.5,77,1423,-0.008270561416129195,0.0033478173369164976,0.0014712911310965915,-0.004056272177136,-0.004908501866817572,0.0005460509830693405,0.0024755981278937193,-0.0029578328762906725,-0.000609925523922028,0.008584814630991559,,,,,,,,,,,,,,
2019,1997-04-12,0.30129338655672283,0.18075250413258312,0.21595477408408664,0.3817604782128749,0.1974895399138895,0.12540433701643394,0.4931228617836372,0.12681896446915988,0.3127242503857179,0.2244980277057157,894.0,621.3333333333331,686.0,1266.3333333333333,631.8333333333331,390.16666666666674,1497.666666666667,422.1666666666666,861.1666666666665,653.9999999999999,3157.833333333333,79,1424,-0.006154262220522178,0.0019181623053725059,-0.000822927052580108,0.00435659634520158,9.343467020841989e-05,-0.002621720135572797,-0.0075733840143150655,0.003270212966543034,-0.010246871961615613,0.004754839167163849,,,,,,,,,,,,,,
2020,1997-04-19,0.30568283473677305,0.17892494845538706,0.21166634494417505,0.38075006890495866,0.19257923953785214,0.12351155146830205,0.4958617511697354,0.12656443263875838,0.3244888287526338,0.2284981811704143,901.3333333333336,614.3333333333333,674.6666666666667,1259.8333333333335,619.8333333333331,388.16666666666674,1503.3333333333335,420.1666666666666,897.8333333333335,664.1666666666665,3151.1666666666674,79,1425,0.004389448180050215,-0.0018275556771960575,-0.004288429139911593,-0.0010104093079162382,-0.004910300376037374,-0.0018927855481318948,0.002738889386098231,-0.00025453183040149985,0.011764578366915912,0.004000153464698592,,,,,,,,,,,,,,
