,timestep,trust_prop,anger_prop,fear_prop,negative_prop,sadness_prop,surprise_prop,positive_prop,disgust_prop,joy_prop,anticipation_prop,trust_cnts,anger_cnts,fear_cnts,negative_cnts,sadness_cnts,surprise_cnts,positive_cnts,disgust_cnts,joy_cnts,anticipation_cnts,num_words,song_counts,WeekID,trust_prop_detrended,anger_prop_detrended,fear_prop_detrended,negative_prop_detrended,sadness_prop_detrended,surprise_prop_detrended,positive_prop_detrended,disgust_prop_detrended,joy_prop_detrended,anticipation_prop_detrended
0,1958-08-02,0.4113492618255485,0.11839185754538555,0.18304821107129127,0.3258122794842478,0.2024408931883417,0.1430441375426754,0.599196336933149,0.1002543923220252,0.4553214355243242,0.2660462859492558,697.3333333333331,193.66666666666669,319.66666666666663,540.0,332.0,265.66666666666663,1098.6666666666665,160.83333333333334,790.9999999999999,459.66666666666674,1797.8333333333335,75,-596,,,,,,,,,,
1,1958-08-09,0.4019044713073092,0.11138707992097302,0.17589011784414954,0.3194362193465751,0.20664229196224815,0.13740744228490764,0.5926365542375106,0.09328205398606028,0.4338340947828403,0.261371066712821,725.6666666666665,206.66666666666669,347.66666666666674,587.6666666666667,376.0,277.0,1140.333333333333,167.16666666666669,805.6666666666665,494.00000000000006,1916.833333333333,79,-595,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769,-0.004675219236434769
2,1958-08-16,0.3822148319125733,0.10337744564561406,0.15557560073920393,0.2907820437751073,0.18450615215997945,0.13916253925228814,0.6163640989404405,0.07441705269243963,0.4476881977494861,0.28615184508316743,625.6666666666666,173.66666666666669,286.6666666666667,485.66666666666674,307.99999999999994,243.0,1073.3333333333333,121.16666666666669,755.6666666666665,468.0,1718.8333333333335,70,-594,0.024780778370346424,0.024780778370346424,0.024780778370346424,0.024780778370346424,0.024780778370346424,0.024780778370346424,0.024780778370346424,0.024780778370346424,0.024780778370346424,0.024780778370346424
3,1958-08-23,0.3873907617298464,0.09350036643829814,0.15411994369228468,0.29685506189532695,0.1883605512904856,0.13898379595836138,0.6173103171696727,0.07122691917921163,0.4438083733159864,0.27818810533575955,641.6666666666666,159.66666666666669,287.6666666666667,509.16666666666674,320.99999999999994,249.0,1095.3333333333333,124.16666666666669,760.6666666666665,473.5,1762.333333333333,71,-593,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883,-0.007963739747407883
4,1958-08-30,0.3937654545012479,0.0921708208816185,0.1540555029471828,0.2811220925731457,0.1875418241879855,0.13786760952945926,0.6198366674298154,0.061881946413972676,0.4514759599892448,0.271352130913988,667.3333333333334,155.66666666666669,268.83333333333337,460.5,298.66666666666663,236.00000000000003,1077.5,111.83333333333334,778.3333333333335,450.83333333333326,1701.8333333333335,65,-592,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529,-0.006835974421771529
5,1958-09-06,0.3731594817702901,0.0992151334048025,0.1618900350176775,0.3143741937161073,0.19682489584317114,0.13912956028331044,0.5903978528852744,0.07443187731620826,0.4215277314420103,0.2717025367580712,688.0,193.16666666666669,310.1666666666667,542.6666666666667,331.99999999999994,257.5,1099.1666666666665,137.66666666666669,784.5,490.33333333333326,1823.1666666666665,68,-591,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903,0.0003504058440831903
6,1958-09-13,0.38649494301562415,0.09982421811326388,0.14580919740362105,0.2951403666566915,0.18087358040725332,0.13789568751419087,0.5969021717048939,0.07065329711510097,0.4378476789144627,0.2785676803631343,669.3333333333334,187.50000000000003,280.1666666666667,498.33333333333337,300.3333333333333,236.83333333333331,1046.1666666666665,126.66666666666669,761.5,469.66666666666674,1737.1666666666665,66,-590,0.006865143605063073,0.006865143605063073,0.006865143605063073,0.006865143605063073,0.006865143605063073,0.006865143605063073,0.006865143605063073,0.006865143605063073,0.006865143605063073,0.006865143605063073
7,1958-09-20,0.406215221506145,0.08568217451943264,0.12153351679915862,0.2813440196634421,0.16429122815718844,0.1496979759548588,0.6216374369605011,0.058161755750804164,0.4653588042929582,0.27128547476011866,749.6666666666667,155.49999999999997,238.83333333333331,511.66666666666674,287.0,286.8333333333333,1161.5,106.33333333333334,873.8333333333335,498.66666666666674,1853.833333333333,68,-589,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235,-0.0072822056030156235
8,1958-09-27,0.39754459480859017,0.09661638546299896,0.14244266912974213,0.3047246304980514,0.18302058514459849,0.14258119266746108,0.6041285916420946,0.06983351798073234,0.4469420600229589,0.27190642570948576,772.6666666666667,221.8333333333333,326.83333333333337,634.5,365.0,290.83333333333337,1175.1666666666667,164.66666666666669,875.1666666666667,532.0,2001.6666666666665,69,-588,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939,0.0006209509493670939
9,1958-10-04,0.3906300287860827,0.09605382420044124,0.15281896359247452,0.3019858356738648,0.19337879558670895,0.14252492794376853,0.603186102380677,0.08181917783547127,0.43933661609709945,0.2876550219247373,734.6666666666667,228.5,345.83333333333337,625.8333333333334,378.33333333333326,289.1666666666667,1150.5,182.33333333333331,836.8333333333335,547.0,1973.666666666667,70,-587,0.015748596215251542,0.015748596215251542,0.015748596215251542,0.015748596215251542,0.015748596215251542,0.015748596215251542,0.015748596215251542,0.015748596215251542,0.015748596215251542,0.015748596215251542
