,timestep,Positive_prop,Negative_prop,Time_prop,Human_prop,Object_prop,Knowledge_prop,Number_prop,Communication_prop,Place_prop,Government_prop,Positive_cnts,Negative_cnts,Time_cnts,Human_cnts,Object_cnts,Knowledge_cnts,Number_cnts,Communication_cnts,Place_cnts,Government_cnts,num_words
0,1958-08-02,0.2001911236899544,0.1864575918379164,0.12192000905236197,0.12928167971398194,0.11023823731009795,0.014092887009553677,0.14271992209482318,0.02858721759921895,0.0656943382280392,0.0008169934640522876,166.83333333333334,126.0,92.33333333333334,107.83333333333333,76.0,12.0,129.0,23.0,49.0,1.0,783.0
1,1958-08-09,0.22429743885631628,0.15415028531539687,0.11223442705795646,0.12848514019426796,0.11858972675518359,0.023358231358231358,0.14035702767457978,0.03079734620424275,0.06773037658382484,0.0,182.83333333333331,120.0,90.33333333333333,105.83333333333334,81.0,16.0,127.0,25.0,53.666666666666664,0.0,801.6666666666666
2,1958-08-16,0.19723187690468255,0.16322910091672768,0.12913352893299418,0.11439956861448654,0.13213080316021492,0.019377630741267107,0.13621651397098564,0.02813028780113419,0.07636281016962836,0.003787878787878788,142.83333333333331,118.0,91.33333333333334,89.83333333333333,79.0,15.0,102.0,21.0,53.0,3.0,715.0
3,1958-08-23,0.21355445651572771,0.14785682647448864,0.12035853284755832,0.12938131039899076,0.12119502847773257,0.019088412371994462,0.13426543921760534,0.035457412148096654,0.07884258154780543,0.0,152.83333333333331,106.0,86.33333333333333,103.83333333333333,80.0,15.0,105.0,26.0,59.0,0.0,734.0
4,1958-08-30,0.21466910251181018,0.14447662361405583,0.12051674919321977,0.11899258683167833,0.10932714421142581,0.020965961129895558,0.15238990864884522,0.03468273137577829,0.08397919248329083,0.0,142.83333333333331,102.0,83.33333333333333,95.5,74.0,15.0,104.5,23.0,58.0,0.0,698.1666666666666
5,1958-09-06,0.2156018587019395,0.13058622632659145,0.11668320944515798,0.13063124450912864,0.10941076765984854,0.020272533553783556,0.1561841316809306,0.03334633019439054,0.08728369792822914,0.0,151.33333333333334,110.5,84.33333333333333,106.83333333333333,81.0,16.0,113.0,24.0,81.5,0.0,768.5
6,1958-09-13,0.20137320415929125,0.13342654194796408,0.12294334369761317,0.12618574484618453,0.10828879502978175,0.03167917442110991,0.14791618739611345,0.03979836235119884,0.0883886461507429,0.0,141.33333333333331,108.83333333333333,85.83333333333334,99.83333333333333,74.0,18.0,101.66666666666667,28.0,73.5,0.0,731.0
7,1958-09-20,0.2230987481795472,0.11795517078577668,0.12594655998017346,0.14123097381090233,0.09338946789927181,0.028236882998787766,0.16091519089823672,0.03980640439154878,0.0694206010557551,0.0,154.66666666666666,96.83333333333333,81.16666666666667,119.5,65.0,16.0,116.66666666666667,28.0,47.5,0.0,725.3333333333333
8,1958-09-27,0.23541677151604493,0.13429447616802492,0.10782348359094684,0.1330288694747366,0.08933659883761472,0.030697423904660754,0.15696174630360968,0.040098781174782695,0.0723418490295788,0.0,168.0,114.5,75.5,130.5,71.0,18.333333333333336,117.66666666666667,30.0,70.5,0.0,796.0
9,1958-10-04,0.22619205703688547,0.145390190612685,0.11195473880724101,0.1258877995077323,0.08649731497589729,0.033587304710635424,0.16665465684688452,0.03443377217801243,0.06650000943679608,0.002902155887230514,147.66666666666666,119.5,80.16666666666667,130.5,72.0,20.333333333333336,120.0,28.0,63.5,2.0,783.6666666666666
10,1958-10-11,0.21335443002019433,0.1288417221261096,0.12790497789237287,0.13308279569044568,0.08517123957216835,0.029550446197062742,0.17617898107725616,0.030360636487266446,0.0727769931593461,0.0027777777777777775,146.66666666666666,120.50000000000001,89.16666666666667,140.5,73.0,18.333333333333336,127.0,26.0,68.5,2.0,811.6666666666666
11,1958-10-18,0.21843000151363587,0.1483149607016341,0.117361078087688,0.12445556673221592,0.07837024844519677,0.023908426375040672,0.17768448792863,0.03271509284739282,0.0758579814813353,0.002902155887230514,143.66666666666669,116.00000000000001,81.49999999999999,127.5,61.666666666666664,15.333333333333334,115.16666666666666,27.0,72.0,2.0,761.8333333333333
12,1958-10-25,0.22991600589546915,0.13252283700676526,0.13426161063929984,0.11791505626116654,0.08035374278053009,0.02352226676143085,0.15866040000389295,0.044979086580029186,0.0750095169472332,0.0028594771241830064,144.66666666666669,93.0,92.49999999999999,128.5,68.66666666666666,17.333333333333332,118.16666666666667,37.0,74.0,2.0,775.8333333333333
13,1958-11-01,0.24216718482061722,0.1357718948881557,0.12786606763130795,0.11346868522294637,0.08247977867412996,0.02123082736293771,0.15944770904654818,0.04202568275499764,0.07264001371112873,0.002902155887230514,135.16666666666663,98.0,85.49999999999999,125.5,76.66666666666666,15.333333333333334,118.16666666666667,34.0,71.0,2.0,761.3333333333333
14,1958-11-08,0.23394526585254008,0.1477355016653262,0.13400873375607908,0.09959292379297342,0.09399078549008959,0.014779185793375678,0.1499825947930707,0.039269308038605635,0.08669570081793959,0.0,120.16666666666664,105.0,83.49999999999999,107.0,85.33333333333334,14.333333333333334,107.83333333333336,31.0,78.0,0.0,732.1666666666667
15,1958-11-15,0.22675176213358172,0.14073417566838614,0.133755707737594,0.11234158034162685,0.09034850425410183,0.01459953430033732,0.1607723730946942,0.036814976286192784,0.08388138618348503,0.0,124.16666666666664,107.0,87.49999999999999,114.0,88.33333333333333,15.333333333333334,114.83333333333334,31.0,83.0,0.0,765.1666666666669
16,1958-11-22,0.23006464498770085,0.14904437934804707,0.14086424045038748,0.12610662955004037,0.08320326555304235,0.01236739144319446,0.1400844918078686,0.03878385229425729,0.07948110456546147,0.0,136.83333333333331,116.66666666666667,97.5,127.66666666666667,85.33333333333333,14.333333333333334,113.83333333333334,33.0,87.0,0.0,812.1666666666667
