,MonthID,trust_prop,anger_prop,fear_prop,negative_prop,sadness_prop,surprise_prop,positive_prop,disgust_prop,joy_prop,anticipation_prop,trust_cnts,anger_cnts,fear_cnts,negative_cnts,sadness_cnts,surprise_cnts,positive_cnts,disgust_cnts,joy_cnts,anticipation_cnts,num_words,song_counts,WeekID,trust_prop_detrended,anger_prop_detrended,fear_prop_detrended,negative_prop_detrended,sadness_prop_detrended,surprise_prop_detrended,positive_prop_detrended,disgust_prop_detrended,joy_prop_detrended,anticipation_prop_detrended,Year,Month
102,23606.0,0.35288173219476027,0.1160060471093734,0.17930773317571083,0.324733764496685,0.19655578790101025,0.13359013009479193,0.5763584498655577,0.08677241989698417,0.4121537863124894,0.23988171434946742,629.6666666666667,234.83333333333331,339.6666666666667,584.5833333333333,374.41666666666663,242.41666666666666,1060.1666666666665,171.08333333333337,761.0,415.16666666666663,1835.8333333333333,79.5,-150.5,0.012976749603844762,-0.013868542552799124,-0.008248593771075258,-0.016310091021468742,-0.02095586041694672,-0.016082792684830538,0.0280790860148038,-0.006775680280903834,0.03405330241588472,-0.01489382415218099,1967.0,2.0
103,23607.0,0.34898126730955703,0.13127504665047668,0.1841429160080913,0.3249422654829331,0.2041984277222123,0.1362397751078064,0.5711250453738342,0.08900347825380533,0.4116998917625847,0.2326257290985829,669.2083333333333,269.5833333333333,364.4166666666667,608.3333333333334,403.66666666666663,245.83333333333331,1105.4583333333335,179.83333333333334,796.75,435.0,1915.0416666666667,81.0,-146.5,-0.0039004648852032364,0.015268999541103279,0.0048351828323804635,0.00020850098624808355,0.007642639821202057,0.0026496450130144844,-0.005233404491723492,0.002231058356821164,-0.0004538945499046876,-0.007255985250884528,1967.0,3.0
104,23608.0,0.35669960148866775,0.13196023253250064,0.16885563052243324,0.32575182500853356,0.20942294966184377,0.13393083514388576,0.5610270583837339,0.10485655849402693,0.41207785356556326,0.2353757921338941,701.6333333333334,270.8666666666667,354.73333333333335,635.3,440.3666666666668,273.7333333333333,1109.4333333333334,213.4,839.3,493.6666666666667,1989.5666666666664,82.6,-142.0,0.00771833417911072,0.0006851858820239587,-0.015287285485658053,0.0008095595256004673,0.005224521939631466,-0.0023089399639206476,-0.010097986990100338,0.015853080240221598,0.00037796180297855475,0.0027500630353111954,1967.0,4.0
105,23609.0,0.34561577644407504,0.1197640272215826,0.16186960221988345,0.3197998768734733,0.2018610463739825,0.13634542231265423,0.5622006776203885,0.1007213277079114,0.42904206354880103,0.24541119295643488,682.4583333333334,231.83333333333337,318.08333333333337,610.9583333333333,376.75,259.83333333333337,1090.4166666666667,187.16666666666669,841.0833333333335,489.2916666666667,1929.458333333333,78.75,-137.5,-0.01108382504459271,-0.012196205310918043,-0.006986028302549796,-0.005951948135060281,-0.007561903287861271,0.0024145871687684672,0.0011736192366545994,-0.004135230786115537,0.016964209983237777,0.010035400822540785,1967.0,5.0
106,23610.0,0.3236969894128073,0.1030939898626906,0.1585411488924564,0.33122139710550874,0.20427051579225333,0.12548494280432218,0.5517275976109965,0.10025557818139053,0.42544875676073,0.24256970345678444,625.625,181.25,298.4166666666667,604.9583333333334,358.5416666666667,226.08333333333337,1065.7083333333333,167.75,833.5416666666667,441.66666666666663,1874.5,73.5,-133.5,-0.02191878703126776,-0.016670037358891998,-0.003328453327427039,0.011421520232035465,0.002409469418270832,-0.01086047950833205,-0.010473080009391955,-0.00046574952652087,-0.0035933067880710157,-0.0028414894996504347,1967.0,6.0
107,23611.0,0.35135381462644516,0.09571433319375054,0.15864772691773782,0.3329344505755048,0.19335883457873643,0.12780361533640988,0.5651182671570623,0.08704770452255092,0.42921047105386184,0.24474334610800597,726.1,194.8,306.0,613.8666666666666,358.9,226.26666666666665,1164.8666666666668,159.93333333333334,909.4666666666668,466.7333333333334,1969.9666666666667,73.0,-129.0,0.02765682521363788,-0.0073796566689400545,0.00010657802528141191,0.001713053469996062,-0.010911681213516905,0.002318672532087701,0.013390669546065714,-0.013207873658839603,0.0037617142931318237,0.0021736426512215246,1967.0,7.0
108,23612.0,0.37468177793920265,0.09153068398196784,0.15109777632283872,0.30874888959622715,0.17490620461032336,0.13146444269885843,0.5903463982891267,0.07498283048952051,0.44571524107806343,0.2541197714397361,804.1666666666667,186.08333333333334,301.08333333333337,593.0,343.0,262.5416666666667,1245.9583333333335,157.16666666666669,977.0,517.125,2047.0833333333333,75.75,-124.5,0.023327963312757494,-0.0041836492117827,-0.007549950594899102,-0.024185560979277654,-0.01845262996841307,0.0036608273624485488,0.025228131132064457,-0.012064874033030415,0.016504770024201587,0.00937642533173011,1967.0,8.0
109,23613.0,0.356881907642302,0.12399866580779864,0.17417861190265277,0.33225675652996967,0.19005790942880157,0.12595663364273824,0.5598111935006796,0.10454368913080836,0.40816166196293346,0.2416139021046888,740.6,217.83333333333331,327.73333333333335,615.3333333333334,367.6333333333333,240.4333333333333,1125.2,207.36666666666665,844.2666666666668,466.5999999999999,1946.9333333333332,78.6,-120.0,-0.017799870296900666,0.0324679818258308,0.023080835579814052,0.023507866933742516,0.015151704818478218,-0.005507809056120194,-0.030535204788447068,0.02956085864128785,-0.037553579115129965,-0.01250586933504727,1967.0,9.0
110,23614.0,0.32076316651938475,0.12842886600178052,0.1877013364052341,0.36374167480233677,0.18884570177849452,0.12729270467524556,0.5322978234292272,0.10617074195871574,0.38553316363895984,0.2265828135545734,602.8333333333334,219.25,336.00000000000006,639.75,347.1666666666667,225.75,1010.8333333333333,195.0,709.5833333333334,407.91666666666663,1815.2499999999998,72.5,-115.5,-0.03611874112291724,0.004430200193981881,0.013522724502581324,0.0314849182723671,-0.0012122076503070511,0.0013360710325073244,-0.027513370071452492,0.0016270528279073854,-0.022628498323973623,-0.015031088550115396,1967.0,10.0
111,23615.0,0.3200853633602317,0.11952562535741537,0.18968236849216089,0.36554651715049863,0.21467303906734922,0.13604115763001373,0.5182912518860091,0.10036103309862263,0.35953470524416964,0.24898685107071444,578.8333333333333,194.33333333333334,333.1666666666667,612.1666666666666,352.33333333333337,235.08333333333331,970.9583333333335,162.33333333333331,670.125,428.625,1757.9999999999998,70.25,-111.5,-0.0006778031591530564,-0.008903240644365151,0.0019810320869267928,0.0018048423481618614,0.025827337288854696,0.008748452954768171,-0.01400657154321805,-0.0058097088600931185,-0.025998458394790203,0.022404037516141034,1967.0,11.0
