,Words,Count,SongCount,SemiAnnualSpan
199,wind,1292,702.0,120.0
200,hopefully,31,24.0,46.0
201,sea,842,493.0,120.0
202,tide,203,127.0,115.0
203,has,2964,1792.0,120.0
204,nothing,5076,2426.0,120.0
205,tell,12988,5326.0,120.0
206,one,20989,7508.0,120.0
207,thing,6021,2851.0,120.0
208,fun,1577,788.0,120.0
209,like,38823,9894.0,120.0
210,dream,3230,1525.0,120.0
211,we're,6113,2384.0,120.0
212,going,5008,2238.0,120.0
213,care,3272,1688.0,120.0
214,maybe,3097,1493.0,120.0
215,oooh,981,364.0,120.0
216,aaaah,29,10.0,104.0
217,ooooh,233,107.0,116.0
218,ooooooh,69,25.0,109.0
219,aaaaaaah,2,2.0,46.0
220,hey,10825,2626.0,120.0
221,give,11190,4144.0,120.0
222,'em,4140,1552.0,120.0
223,they,17663,5731.0,120.0
224,lust,131,65.0,104.0
225,hate,1444,769.0,120.0
226,candy,437,193.0,120.0
227,blood,723,400.0,118.0
228,love,56414,10941.0,120.0
229,tastes,88,45.0,115.0
230,so,38314,11992.0,120.0
231,their,2171,1350.0,120.0
232,growing,317,200.0,116.0
233,hazy,52,34.0,119.0
234,'cause,10007,4044.0,120.0
235,wanna,15639,4340.0,120.0
236,turn,5434,2416.0,120.0
237,minds,178,140.0,114.0
238,soft,440,323.0,120.0
239,lazy,223,104.0,120.0
240,well,8034,3770.0,120.0
241,blame,1010,467.0,120.0
242,baby,34039,7093.0,120.0
243,here,11174,4875.0,120.0
244,am,5319,2185.0,120.0
245,hold,6443,2970.0,120.0
246,close,2460,1411.0,120.0
247,try,5006,2514.0,120.0
248,understand,2230,1358.0,120.0
249,desire,476,296.0,119.0
250,hunger,149,93.0,120.0
251,fire,2750,1208.0,120.0
252,breathe,787,347.0,120.0
253,banquet,3,3.0,80.0
254,which,467,327.0,120.0
255,feed,262,190.0,118.0
256,come,19187,6490.0,120.0
257,under,1385,776.0,120.0
258,command,99,84.0,115.0
259,hand,3380,1987.0,120.0
260,sun,2826,1556.0,120.0
261,descends,7,6.0,39.0
262,can't,18800,6819.0,120.0
263,belongs,254,107.0,118.0
264,lovers,730,360.0,120.0
265,doubt,787,535.0,120.0
266,alone,4377,2391.0,120.0
267,ring,1213,593.0,120.0
268,telephone,331,217.0,120.0
269,an,4619,2614.0,120.0
270,angel,992,353.0,120.0
271,disguised,10,9.0,113.0
272,bed,1387,850.0,120.0
273,'til,2351,1137.0,120.0
274,morning,2188,1206.0,120.0
275,comes,2489,1326.0,120.0
276,vicious,40,36.0,117.0
277,cycle,15,13.0,113.0
278,turns,500,293.0,117.0
279,burns,188,114.0,115.0
280,oh,37212,8193.0,120.0
281,cannot,603,362.0,120.0
282,live,4557,2106.0,120.0
283,forgive,372,241.0,120.0
284,yearning,115,61.0,104.0
285,burning,1024,486.0,120.0
286,believe,4620,2230.0,120.0
287,too,9697,4386.0,120.0
288,real,5257,2275.0,120.0
289,everybody,3503,1402.0,120.0
290,says,1157,694.0,120.0
291,color,363,219.0,118.0
292,sky,2202,1166.0,120.0
293,coal,89,38.0,115.0
294,gray,182,125.0,120.0
295,lift,386,208.0,120.0
296,head,3773,2103.0,120.0
297,pillow,195,124.0,120.0
298,fall,3338,1595.0,120.0
299,again,7458,3003.0,120.0
300,shiver,51,42.0,104.0
301,bones,206,150.0,115.0
302,thinking,1900,1010.0,120.0
303,about,10314,4413.0,120.0
304,quiver,21,11.0,103.0
