,MonthID,cat0_avg,cat1_avg,cat2_avg,cat3_avg,cat4_avg,cat5_avg,cat6_avg,cat7_avg,cat8_avg,cat9_avg,cat10_avg,cat0_avg_detrended,cat1_avg_detrended,cat2_avg_detrended,cat3_avg_detrended,cat4_avg_detrended,cat5_avg_detrended,cat6_avg_detrended,cat7_avg_detrended,cat8_avg_detrended,cat9_avg_detrended,cat10_avg_detrended
138,23744,0.3126609659149915,0.24733952821947203,0.3540459184840977,0.35696124198355134,0.1862202432523999,0.21285859536568538,0.23794771826761218,0.13826769408252504,0.27899056673049927,0.2021851783242039,0.2703315314135284,-0.009302130155962485,0.013157157743803605,-0.010847689833268781,-0.027152915508176723,0.021960732736859973,-0.011121557979395236,-0.0013702586649450565,0.008343139841270969,-0.028132969141006492,0.03925723078217075,-0.006187029891204232
139,23745,0.32347729811481407,0.2358565827819688,0.36505396073101315,0.34791215357895794,0.17412382827312858,0.23347297077458617,0.24815876618040864,0.17933200783199738,0.41557830572128296,0.20269537416215125,0.2589712859409471,0.010816332199822587,-0.011482945437503222,0.011008042246915428,-0.009049088404593397,-0.012096414979271303,0.020614375408900792,0.01021104791279645,0.041064313749472336,0.1365877389907837,0.0005101958379473415,-0.011360245472581298
140,23746,0.32158538849987817,0.23111254750691634,0.3625337277288433,0.3497085296885759,0.19548059785738586,0.21527907561142803,0.24353089577264406,0.18425242660626295,0.38668041427930194,0.23452951813897768,0.28344059428568047,-0.001891909614935905,-0.004744035275052461,-0.0025202330021698582,0.0017963761096179698,0.02135676958425728,-0.01819389516315814,-0.004627870407764578,0.004920418774265578,-0.028897891441981016,0.031834143976826434,0.024469308344733376
141,23747,0.31800049647112916,0.24610216099933216,0.35366435799348006,0.3575801642567117,0.22021879791725604,0.20786290711669686,0.23419171173308947,0.1750576817036345,0.3050065040588379,0.19595199271223687,0.2758980402489825,-0.0035848920287490094,0.014989613492415815,-0.00886936973536323,0.007871634568135777,0.02473820005987018,-0.0074161684947311735,-0.009339184039554582,-0.009194744902628449,-0.08167391022046405,-0.03857752542674081,-0.007542554036697957
142,23748,0.2863928297741546,0.2384659647814229,0.3716890415414059,0.33760770719153277,0.1694251566060952,0.21997835637646773,0.2526649089901699,0.1700165449597296,0.27478577872117355,0.20083402112661944,0.27500976376210595,-0.03160766669697457,-0.007636196217909258,0.018024683547925857,-0.019972457065178917,-0.05079364131116085,0.012115449259770872,0.018473197257080437,-0.0050411367439049115,-0.030220725337664345,0.0048820284143825665,-0.0008882764868765602
143,23749,0.24686378680072188,0.2166584593928459,0.3772046134802881,0.3285290467504563,0.17786414256053312,0.23627479098049134,0.288663894144238,0.17444695788312442,0.21266474574804306,0.19632247628511063,0.273681810995444,-0.03952904297343271,-0.02180750538857701,0.005515571938882191,-0.00907866044107647,0.008438985954437928,0.016296434604023607,0.035998985154068075,0.0044304129233948275,-0.062121032973130486,-0.004511544841508813,-0.0013279527666619773
144,23750,0.2699197654714104,0.23616915868132837,0.4012744120765028,0.31637430276505346,0.17814515063789113,0.24543915898230967,0.2699873454567789,0.22525700916802244,0.2541288360953331,0.19752064890405988,0.25632393653277585,0.02305597867068851,0.01951069928848248,0.024069798596214664,-0.012154743985402838,0.00028100807735800815,0.00916436800181833,-0.018676548687459105,0.05081005128489802,0.04146409034729004,0.0011981726189492503,-0.01735787446266812
145,23751,0.3434683260873853,0.2724135599951401,0.3920531700209151,0.3068082141394071,0.19785753171413373,0.24633425186735156,0.2484863967278093,0.2622439794242382,0.1615080714225769,0.18737758914757768,0.2741656727809661,0.07354856061597492,0.036244401313811736,-0.009221242055587664,-0.00956608862564634,0.019712381076242597,0.0008950928850418871,-0.02150094872896957,0.03698697025621578,-0.0926207646727562,-0.010143059756482192,0.017841736248190243
146,23752,0.3800487474021411,0.26226554020747417,0.3952082071215837,0.3209547462163245,0.2256415071963732,0.208709664263053,0.2525421508683509,0.20159523983796437,0.05416609346866608,0.16309055618339163,0.26756270522989095,0.03658042131475581,-0.01014801978766594,0.0031550371006686118,0.014146532076917406,0.02778397548223946,-0.03762458760429854,0.004055754140541601,-0.06064873958627384,-0.10734197795391082,-0.02428703296418605,-0.006602967551075145
147,23753,0.37505616025889277,0.22489859882209984,0.3926441793860865,0.33528886191838236,0.24175029689376248,0.1904252353819929,0.2716346029834218,0.20423873849213126,0.0,0.16162361803386982,0.25925571732119623,-0.00499258714324835,-0.03736694138537433,-0.002564027735497243,0.014334115702057837,0.016108789697389297,-0.018284428881060105,0.01909245211507088,0.0026434986541668815,-0.05416609346866608,-0.0014669381495218126,-0.008306987908694718
148,23754,0.32383625440595637,0.1957940610119926,0.3882980266974914,0.36719901946896516,0.2754459312854455,0.18286596414093909,0.26018202728573,0.18270868172248206,0.13985984325408934,0.16766803269429753,0.2727289059416701,-0.0512199058529364,-0.029104537810107245,-0.004346152688595062,0.031910157550582796,0.033695634391682994,-0.007559271241053822,-0.011452575697691814,-0.021530056769649197,0.13985984325408934,0.0060444146604277105,0.013473188620473864
149,23755,0.28025695192401745,0.2485906113972695,0.3841585659216916,0.37540294440741373,0.25167066548841405,0.15844426592547362,0.26066005962475397,0.14824431834535465,0.26223720610141754,0.18359472254805534,0.2784810743769786,-0.04357930248193892,0.05279655038527692,-0.004139460775799797,0.00820392493844857,-0.02377526579703143,-0.02442169821546547,0.00047803233902399267,-0.03446436337712741,0.1223773628473282,0.01592668985375781,0.005752168435308513
