,DATE,MonthID,S&P,S&P_detrended,Unemp,Unemp_detrended,Food&Beverage,Food&Beverage_detrended,GDP,GDP_detrended,Income,Income_detrended,LoanRate,LoanRate_detrended
344,1986-09-01,1986.6666666666667,231.32000699999998,-21.60998600000005,7.0,0.09999999999999964,110.1,0.09999999999999432,,,6113.0,5.600000000000364,,-0.16999999999999993
345,1986-10-01,1986.75,243.979996,12.659989000000024,7.0,0.0,110.4,0.30000000000001137,8308.021,44.38199999999961,6109.3,-3.699999999999818,,-0.16999999999999993
346,1986-11-01,1986.8333333333333,249.22000099999997,5.240004999999968,6.9,-0.09999999999999964,111.0,0.5999999999999943,,,6113.2,3.899999999999636,14.19,-0.16999999999999993
347,1986-12-01,1986.9166666666667,242.169998,-7.050002999999975,6.6,-0.3000000000000007,111.3,0.29999999999999716,,,6123.9,10.699999999999818,,-0.02999999999999936
348,1987-01-01,1987.0,274.079987,31.909989000000024,6.6,0.0,111.9,0.6000000000000085,8369.93,61.90899999999965,6147.5,23.600000000000364,,-0.030000000000001137
349,1987-02-01,1987.0833333333333,284.200012,10.120024999999998,6.6,0.0,112.2,0.29999999999999716,,,6180.1,32.600000000000364,14.1,-0.02999999999999936
350,1987-03-01,1987.1666666666667,291.700012,7.5,6.6,0.0,112.4,0.20000000000000284,,,6187.9,7.799999999999272,,-0.033333333333333215
351,1987-04-01,1987.25,288.359985,-3.3400270000000205,6.3,-0.2999999999999998,112.6,0.19999999999998863,8460.233,90.30299999999988,5955.6,-232.29999999999927,,-0.033333333333333215
352,1987-05-01,1987.3333333333333,290.100006,1.740021000000013,6.3,0.0,113.2,0.6000000000000085,,,6197.0,241.39999999999964,14.0,-0.033333333333333215
353,1987-06-01,1987.4166666666667,304.0,13.899993999999992,6.2,-0.09999999999999964,113.8,0.5999999999999943,,,6188.8,-8.199999999999818,,0.07333333333333414
354,1987-07-01,1987.5,318.660004,14.660004000000015,6.1,-0.10000000000000053,113.7,-0.09999999999999432,8533.635,73.40200000000004,6206.0,17.199999999999818,,0.07333333333333236
355,1987-08-01,1987.5833333333333,329.799988,11.13998399999997,6.0,-0.09999999999999964,113.9,0.20000000000000284,,,6232.1,26.100000000000364,14.22,0.07333333333333414
356,1987-09-01,1987.6666666666667,321.829987,-7.970000999999968,5.9,-0.09999999999999964,114.4,0.5,,,6232.2,0.0999999999994543,,0.11999999999999922
357,1987-10-01,1987.75,251.789993,-70.03999400000001,6.0,0.09999999999999964,114.6,0.19999999999998863,8680.162,146.52700000000004,6272.3,40.100000000000364,,0.120000000000001
358,1987-11-01,1987.8333333333333,230.30000299999998,-21.489990000000034,5.8,-0.20000000000000018,114.7,0.10000000000000853,,,6296.7,24.399999999999636,14.58,0.11999999999999922
359,1987-12-01,1987.9166666666667,247.080002,16.779999000000032,5.7,-0.09999999999999964,115.2,0.5,,,6353.0,56.30000000000018,,-0.03999999999999915
360,1988-01-01,1988.0,257.070007,9.990004999999968,5.7,0.0,115.6,0.3999999999999915,8725.006,44.84399999999914,6366.4,13.399999999999636,,-0.040000000000000924
361,1988-02-01,1988.0833333333333,267.820007,10.75,5.7,0.0,115.7,0.10000000000000853,,,6403.6,37.20000000000073,14.46,-0.03999999999999915
362,1988-03-01,1988.1666666666667,258.890015,-8.92999199999997,5.7,0.0,115.9,0.20000000000000284,,,6429.7,26.099999999999454,,-0.019999999999999574
363,1988-04-01,1988.25,261.329987,2.4399720000000116,5.4,-0.2999999999999998,116.5,0.5999999999999943,8839.641,114.63500000000022,6451.8,22.100000000000364,,-0.02000000000000135
364,1988-05-01,1988.3333333333333,262.160004,0.830016999999998,5.6,0.1999999999999993,116.9,0.4000000000000057,,,6460.8,9.0,14.4,-0.019999999999999574
365,1988-06-01,1988.4166666666667,273.5,11.339995999999985,5.4,-0.1999999999999993,117.6,0.6999999999999886,,,6484.8,24.0,,0.13666666666666671
