Date,Open,High,Low,Close,Adj Close,Volume
1958-01-01,40.330002,41.000000,40.330002,41.000000,41.000000,8960000
1958-01-08,40.990002,40.990002,40.369999,40.669998,40.669998,10290000
1958-01-15,40.990002,41.349998,40.990002,41.299999,41.299999,12700000
1958-01-22,41.200001,41.709999,41.200001,41.630001,41.630001,11480000
1958-01-29,41.880001,42.459999,41.680000,42.459999,42.459999,11860000
1958-02-05,42.189999,42.189999,41.110001,41.110001,41.110001,10920000
1958-02-12,40.930000,41.330002,40.930000,41.169998,41.169998,9360000
1958-02-19,41.150002,41.150002,40.610001,40.610001,40.610001,9320000
1958-02-26,40.919998,41.349998,40.680000,41.349998,41.349998,8950000
1958-03-05,41.470001,42.509998,41.470001,42.509998,42.509998,11240000
1958-03-12,42.410000,42.459999,41.889999,41.889999,41.889999,11600000
1958-03-19,42.090000,42.580002,42.090000,42.439999,42.439999,11910000
1958-03-26,42.299999,42.299999,41.930000,41.930000,41.930000,10180000
1958-04-02,41.599998,41.599998,41.330002,41.430000,41.430000,8800000
1958-04-09,41.650002,42.430000,41.650002,42.430000,42.430000,10870000
1958-04-16,42.099998,42.930000,42.099998,42.799999,42.799999,12430000
1958-04-23,42.799999,43.360001,42.799999,43.000000,43.000000,13200000
1958-04-30,43.439999,44.009998,43.439999,44.009998,44.009998,13600000
1958-05-07,43.930000,44.090000,43.619999,43.619999,43.619999,14040000
1958-05-14,43.119999,43.610001,43.119999,43.610001,43.610001,11970000
1958-05-21,43.549999,43.869999,43.549999,43.790001,43.790001,12780000
1958-05-28,43.849998,44.459999,43.849998,44.459999,44.459999,10160000
1958-06-04,44.500000,44.639999,44.480000,44.480000,44.480000,12740000
1958-06-11,44.490002,45.180000,44.490002,44.939999,44.939999,14250000
1958-06-18,45.340000,45.340000,44.520000,44.520000,44.520000,12820000
1958-06-25,44.630001,45.279999,44.630001,45.279999,45.279999,13850000
1958-07-02,45.320000,45.619999,45.320000,45.400002,45.400002,9940000
1958-07-09,45.250000,45.720001,45.110001,45.110001,45.110001,13170000
1958-07-16,45.250000,46.410000,45.250000,46.410000,46.410000,16630000
1958-07-23,46.400002,47.150002,46.400002,46.959999,46.959999,18970000
1958-07-30,47.090000,47.939999,47.090000,47.750000,47.750000,19710000
